LocationName,LocationAddress,LocationPostcode,LocationContact,LocationGPHC,LocationODS
Hawkinge Pharmacy,97 Canterbury Road,CT18 7BS,01303892283,0123456,FAH47
Park Pharmacy,102 Kings Road,CT6 5RE,01227374054,0123456,FGQ86
Hoo Pharmacy,5 Main Road,ME3 9AA,01634253780,0123456,FJE35
Eakins Chemist,110 High Street,CT21 5LE,01303267876,0123456,FYD13
Paydens Ltd,"Oaklands, Stade St",CT21 6BD,01303261647,0123456,FR888
Kemsley Pharmacy,Grovehurst Road,ME10 2ST,01795431270,0123456,FM457
Gill Pharmacy,45 South Street,BN15 8AN,01903752191,0123456,FJ330
Paydens Ltd,12 & 16 Martin Square,ME20 6QJ,01732843203,0123456,FRG18
Paydens Ltd,12 & 16 Martin Square,ME20 6QJ,01732843203,0123456,FRG18
Paydens Ltd,12 & 16 Martin Square,ME20 6QJ,01732843203,0123456,FRG18
Abbotts Pharmacy,83 High Street,RH16 2HN,01444483130,0123456,FMW66
Little Common Pharmacy,77 Cooden Sea Road,TN39 4SL,01424843080,0123456,FCM81
Glyn Norris Pharmacy,"1 Wick Parade, Wick St",BN17 7JQ,01903715891,0123456,FD172
Paydens Ltd,"6 Boughton Parade, Loose Road",ME15 9QD,01622744674,0123456,FV068
Paydens Ltd,100 Week Street,ME14 1RH,01622752958,0123456,FYX54
Paydens Ltd,5 - 9 Hawley Street,CT9 1PU,01843292853,0123456,FD763
MH Pharmacy,"Riverbank Medical Centre, Dodsley Lane",GU29 9AW,01730813255,0123456,FFX59
MH Pharmacy,"Riverbank Medical Centre, Dodsley Lane",GU29 9AW,01730813255,0123456,FFX59
Village Pharmacy,2 The Row,DA3 8JB,01474873811,0123456,FX677
R W Stevens,379 Footscray Road,SE9 2DR,02088501593,0123456,FV353
Paydens Ltd,22 Station Road East,RH8 0PG,01883712081,0123456,FR678
Paddock Wood Pharmacy,12 Commercial Road,TN12 6EL,01892833203,0123456,FPL19
Farrants,13 Station Square,BR5 1LY,01689820949,0123456,FGG04
Potter Street Pharmacy,12 Prentice Place,CM17 9BG,01279422909,0123456,FKE56
Paydens,266a Upper Richmond Rd,SW15 6TQ,02087853016,0123456,FJL27
Spensley Pharmacy,1 Twydall Green,ME8 6JY,01634231809,0123456,FED75
Spensley Pharmacy,1 Twydall Green,ME8 6JY,01634231809,0123456,FED75
Paydens Ltd,"Montefiore Medical Centre, Dumpton Park Drive",CT11 8AD ,01843591282,0123456,FJ719
Courts Pharmacy,3 - 5 King Street,CT11 8NN,01843580351,0123456,FN979
Woodhatch Pharmacy,5 Prices Lane,RH2 8BB,01737245259,0123456,FXP41
Woodhatch Pharmacy,5 Prices Lane,RH2 8BB,01737245259,0123456,FXP41
Ryders Chemist,130 High Street,ME1 1JT,01634842838,0123456,FHY79
Paydens Ltd,134-136 Delce Road,ME1 2DT,01634842089,0123456,FGF64
Seaford Pharmacy,20 Dane Road,BN25 1LL,01323890928,0123456,FJG00
Dane Road Pharmacy,10 Dane Road,BN25 1LL,01323892660,0123456,FEP23
Paydens Ltd,21-23 London Road,TN13 1AR,01732454997,0123456,FRQ32
Park Pharmacy,193b Upper Shoreham Rd,BN43 6BT,01273454030,0123456,FFJ95
Park Pharmacy,193b Upper Shoreham Rd,BN43 6BT,01273454030,0123456,FFJ95
Catts Pharmacy,Catts Alley,ME6 5SN,01634242077,0123456,FNH39
Paydens Ltd,26 High Street,ME6 5DF,01634240539,0123456,FED96
Southend Pharmacy,75 Queensway,SS1 2AB,01702612003,0123456,FEA52
Southend Pharmacy,75 Queensway,SS1 2AB,01702612003,0123456,FEA52
Warrior Pharmacy,"Temp Portacabin, Falaise Rd",TN34 1EU,01424446611,0123456,FK995
Blooms Pharmacy,55-57 Bohemia Road,TN37 6RE,01424421072,0123456,FAN63
Cray Hill Chemist,88 Cotmandene Cres,BR5 2RG,02083007341,0123456,FTK80
Paydens Pharmacy,"Steyning Health Centre, Tanyard Lane",BN44 3RJ,01903815615,0123456,FTY98
Sturry Pharmacy,8 High Street,CT2 0BD,01227710451,0123456,FJE07
Paydens Pharmacy,"Surbiton Health Centre, Ewell Rd",KT6 6EZ,02083909601,0123456,FTL85
Paydens Ltd,60 High Street,TN30 6AU,01580762730,0123456,FQ178
Clarke & Coleman,140 High Street,TN9 1BB,01732353743,0123456,FA286
G Curries,4 York Parade,TN10 3NP,01732355550,0123456,FF221
Thompson's Pharmacy,1A Riding Lane Hildenborough,TN11 9HX,01732833433,0123456,FX524
Paydens Pharmacy,"Abbeycourt Medical Centre, St Johns Rd",TN4 9TF,01892516090,0123456,FQL85
Carrs Pharmacy,94 Calverley Road,TN1 2UN,01892542275,0123456,FQR12
The Pharmacy,High Street,TN5 6AP,01892782058,0123456,FPC61
Fenns Chemist,9-10 Walderslade Centre,ME5 9LR,01634863819,0123456,FEL36
Paydens Ltd,74-76 St Mildreds Road,CT8 8RF,01843831186,0123456,FJP76
Tyrrell & Jones,1a Tower Parade,CT5 2BJ,01227263046,0123456,FX518
Wonersh Pharmacy,The Street,GU5 0PE,01483890683,0123456,FTW87
Paydens Pharmacy (Broadwater),3-4 Broadwater Boulevard,BN14 8JE,01903201331,0123456,FV884
Paydens Pharmacy (Teville Gate),56 Teville Road,BN11 1UY,01903202746,0123456,FLH80
Lime Tree Pharmacy,"Lime Tree Avenue, Findon Valley",BN14 0DL,01903694143,0123456,FXR40
,,,,,
,,,,,
